symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00081000,-1.446,0.05569906,0.05603000,0.05521000,0.02180000,0.05520000,47.01830000,0.05521000,0.63620000,0.05602000,0.05641000,0.05499000,26630.32160000,1483.28393331,1697476610503,1697563010503,423986208,424025542,39335
LTCBTC,-0.00008000,-3.537,0.00222205,0.00226100,0.00218200,17.28400000,0.00218200,65.15200000,0.00218300,74.43100000,0.00226200,0.00226400,0.00217500,31620.29700000,70.26200718,1697476604172,1697563004172,93800020,93808590,8571
BNBBTC,-0.00013100,-1.730,0.00749384,0.00757100,0.00744100,4.42300000,0.00744100,12.30700000,0.00744200,10.89900000,0.00757200,0.00758800,0.00739700,23962.73300000,179.57294064,1697476610060,1697563010060,227820716,227851689,30974
NEOBTC,-0.00000800,-3.217,0.00024643,0.00024880,0.00024070,255.08000000,0.00024070,206.99000000,0.00024080,1.85000000,0.00024870,0.00024940,0.00024040,28144.57000000,6.93556593,1697476598498,1697562998498,45559681,45560801,1121
QTUMETH,0.00000500,0.361,0.00138810,0.00138000,0.00139000,29.90000000,0.00139000,45.70000000,0.00139400,17.90000000,0.00138500,0.00140700,0.00136300,5120.00000000,7.10707430,1697476608683,1697563008683,5403910,5403985,76
EOSETH,-0.00000800,-2.273,0.00034709,0.00035120,0.00034400,13.10000000,0.00034370,275.20000000,0.00034440,758.10000000,0.00035200,0.00035250,0.00034080,13570.10000000,4.70999728,1697476608763,1697563008763,23502744,23502866,123
SNTETH,0.00000064,4.051,0.00001661,0.00001602,0.00001644,370.00000000,0.00001655,3842.00000000,0.00001665,11807.00000000,0.00001580,0.00001727,0.00001567,2100393.00000000,34.88426068,1697476554827,1697562954827,3917911,3918388,478
BNTETH,0.00000590,1.632,0.00037262,0.00036030,0.00036740,558.60000000,0.00036820,54.30000000,0.00036860,207.30000000,0.00036150,0.00039220,0.00035690,69882.70000000,26.03966169,1697476610475,1697563010475,2251398,2252225,828
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
GASBTC,-0.00000070,-0.850,0.00008204,0.00008250,0.00008170,32.00000000,0.00008160,46.10000000,0.00008180,4.70000000,0.00008240,0.00008330,0.00008110,6948.10000000,0.57000075,1697476587772,1697562987772,20854670,20855303,634
BNBETH,-0.00030000,-0.222,0.13776202,0.13500000,0.13480000,0.30400000,0.13470000,43.69500000,0.13480000,6.74100000,0.13510000,0.15400000,0.13350000,19739.95800000,2719.41643750,1697476610102,1697563010102,56490842,56503908,13067
BTCUSDT,253.59000000,0.899,28396.98981844,28193.82000000,28447.41000000,0.00043000,28447.41000000,5.40274000,28447.42000000,9.89379000,28193.82000000,28808.51000000,28069.32000000,45755.54447000,1299319730.45162790,1697476610492,1697563010492,3241778038,3243268894,1490857
ETHUSDT,-9.46000000,-0.599,1584.66714943,1580.04000000,1570.58000000,0.06150000,1570.58000000,106.74730000,1570.59000000,4.08610000,1580.04000000,1604.85000000,1565.00000000,252758.82100000,400538600.36855300,1697476610401,1697563010401,1210802161,1211309879,507719
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
WTCBTC,-0.00000020,-3.766,0.00000524,0.00000531,0.00000511,28.00000000,0.00000511,5940.00000000,0.00000514,26.00000000,0.00000531,0.00000533,0.00000510,127284.00000000,0.66695462,1697476599992,1697562999992,20245470,20245637,168
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
LRCBTC,-0.00000021,-3.494,0.00000587,0.00000601,0.00000580,1227.00000000,0.00000580,17957.00000000,0.00000581,4249.00000000,0.00000601,0.00000604,0.00000579,327651.00000000,1.92464099,1697476606447,1697563006447,22127494,22127900,407
LRCETH,-0.00000202,-1.881,0.00010534,0.00010708,0.00010537,44.00000000,0.00010515,4520.00000000,0.00010536,2644.00000000,0.00010739,0.00010739,0.00010395,458536.00000000,48.30162523,1697476596463,1697562996463,4720159,4720315,157
QTUMBTC,-0.00000100,-1.287,0.00007757,0.00007750,0.00007670,160.50000000,0.00007670,1051.30000000,0.00007690,171.90000000,0.00007770,0.00007880,0.00007620,6506.20000000,0.50471081,1697476606297,1697563006297,24089623,24089894,272
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ZRXBTC,0.00000064,7.674,0.00000905,0.00000834,0.00000898,755.00000000,0.00000901,4235.00000000,0.00000903,3071.00000000,0.00000834,0.00000960,0.00000824,2407919.00000000,21.79219830,1697476595016,1697562995016,25438138,25442574,4437
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
